Ac	89	227.0278
Al	13	26.981539
Am	95	243.0614
Sb	51	121.76
Ar	18	39.948
As	33	74.92159
At	85	209.9871
Ba	56	137.327
Bk	97	247.0703
Be	4	9.012182
Bi	83	208.98037
B	5	10.811
Br	35	79.904
Cd	48	112.411
Ca	20	40.078
Cf	98	251.0796
C	6	12.011
Ce	58	140.115
Cs	55	132.90543
Cl	17	35.4527
Cr	24	51.9961
Co	27	58.9332
Cu	29	63.546
Cm	96	247.0703
Dy	66	162.5
Es	99	252.083
Er	68	167.26
Eu	63	151.965
Fm	100	257.0951
F	9	18.9984032
Fr	87	223.0197
Gd	64	157.25
Ga	31	69.723
Ge	32	72.61
Au	79	196.96654
Hf	72	178.49
He	2	4.002602
Ho	67	164.93032
H	1	1.00794
In	49	114.818
I	53	126.90447
Ir	77	192.217
Fe	26	55.845
Kr	36	83.8
La	57	138.9055
Lr	103	262.11
Pb	82	207.2
Li	3	6.941
Lu	71	174.967
Mg	12	24.305
Mn	25	54.93805
Md	101	258.1
Hg	80	200.59
Mo	42	95.94
Nd	60	144.24
Ne	10	20.1797
Np	93	237.0482
Ni	28	58.6934
Nb	41	92.90638
N	7	14.00674
No	102	259.1009
Os	76	190.23
O	8	15.9994
Pd	46	106.42
P	15	30.973762
Pt	78	195.08
Pu	94	244.0642
Po	84	208.9824
K	19	39.0983
Pr	59	140.90765
Pm	61	144.9127
Pa	91	231.0388
Ra	88	226.0254
Rn	86	222.0176
Re	75	186.207
Rh	45	102.9055
Rb	37	85.4678
Ru	44	101.07
Sm	62	150.36
Sc	21	44.95591
Se	34	78.96
Si	14	28.0855
Ag	47	107.8682
Na	11	22.989768
Sr	38	87.62
S	16	32.066
Ta	73	180.9479
Tc	43	97.9072
Te	52	127.6
Tb	65	158.92534
Tl	81	204.3833
Th	90	232.0381
Tm	69	168.93421
Sn	50	118.71
Ti	22	47.867
W	74	183.84
U	92	238.0289
V	23	50.9415
Xe	54	131.29
Yb	70	173.04
Y	39	88.90585
Zn	30	65.39
Zr	40	91.224

